MatchDate:			 Date of the match.
opponentsHalf_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <opponentsHalf_avg_perTimePerPlayer_ref> (Boolean to decide if a player is on the half of the opponent.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
opponentsHalf_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <opponentsHalf_avg_perTimePerPlayer_ref> (Boolean to decide if a player is on the half of the opponent.). For <refTeam>. During the whole duration of the events <attack>.
opponentsHalf_avg_perTimePerPlayer_ref_min:	 Minimum of <opponentsHalf_avg_perTimePerPlayer_ref> (Boolean to decide if a player is on the half of the opponent.). For <refTeam>. During the whole duration of the events <attack>.
opponentsHalf_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <opponentsHalf_avg_perTimePerPlayer_ref> (Boolean to decide if a player is on the half of the opponent.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
opponentsHalf_avg_perTimePerPlayer_ref_max:	 Maximum of <opponentsHalf_avg_perTimePerPlayer_ref> (Boolean to decide if a player is on the half of the opponent.). For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg:		 Average of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.). For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_avgGreaterThanZero:	 Average of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_std:		 Standard Deviation of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.). For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_min:		 Minimum of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.). For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_minGreaterThanZero:	 Minimum of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_max:		 Maximum of <inPenaltyArea> (Boolean to decide if a player is in the penalty area.). For <playerRows>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_avg:	 Average of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.). For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.). For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_min:	 Minimum of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.). For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
inPenaltyArea_avg_perTimePerPlayer_ref_max:	 Maximum of <inPenaltyArea_avg_perTimePerPlayer_ref> (Boolean to decide if a player is in the penalty area.). For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg:		 Average of <Link_Control> (Ball control of player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Control_avgGreaterThanZero:	 Average of <Link_Control> (Ball control of player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Control_std:		 Standard Deviation of <Link_Control> (Ball control of player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Control_min:		 Minimum of <Link_Control> (Ball control of player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Control_minGreaterThanZero:	 Minimum of <Link_Control> (Ball control of player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Control_max:		 Maximum of <Link_Control> (Ball control of player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_avg:	 Average of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_min:	 Minimum of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_Control_avg_perTimePerPlayer_ref_max:	 Maximum of <Link_Control_avg_perTimePerPlayer_ref> (Ball control of player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Control_01_avg:		 Average of <Link_Control_01> (Ball control of player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Control_01_avgGreaterThanZero:	 Average of <Link_Control_01> (Ball control of player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Control_01_std:		 Standard Deviation of <Link_Control_01> (Ball control of player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Control_01_min:		 Minimum of <Link_Control_01> (Ball control of player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Control_01_minGreaterThanZero:	 Minimum of <Link_Control_01> (Ball control of player with ball.) with only values greater than zero. For <1th player>. During the whole duration of the events <attack>.
Link_Control_01_max:		 Maximum of <Link_Control_01> (Ball control of player with ball.). For <1th player>. During the whole duration of the events <attack>.
Link_Control_02_avg:		 Average of <Link_Control_02> (Ball control of player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Control_02_avgGreaterThanZero:	 Average of <Link_Control_02> (Ball control of player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Control_02_std:		 Standard Deviation of <Link_Control_02> (Ball control of player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Control_02_min:		 Minimum of <Link_Control_02> (Ball control of player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Control_02_minGreaterThanZero:	 Minimum of <Link_Control_02> (Ball control of player with ball.) with only values greater than zero. For <2th player>. During the whole duration of the events <attack>.
Link_Control_02_max:		 Maximum of <Link_Control_02> (Ball control of player with ball.). For <2th player>. During the whole duration of the events <attack>.
Link_Control_03_avg:		 Average of <Link_Control_03> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_03_avgGreaterThanZero:	 Average of <Link_Control_03> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_03_std:		 Standard Deviation of <Link_Control_03> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_03_min:		 Minimum of <Link_Control_03> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_03_minGreaterThanZero:	 Minimum of <Link_Control_03> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_03_max:		 Maximum of <Link_Control_03> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_avg:		 Average of <Link_Control_04> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_avgGreaterThanZero:	 Average of <Link_Control_04> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_std:		 Standard Deviation of <Link_Control_04> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_min:		 Minimum of <Link_Control_04> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_minGreaterThanZero:	 Minimum of <Link_Control_04> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_04_max:		 Maximum of <Link_Control_04> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_avg:		 Average of <Link_Control_05> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_avgGreaterThanZero:	 Average of <Link_Control_05> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_std:		 Standard Deviation of <Link_Control_05> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_min:		 Minimum of <Link_Control_05> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_minGreaterThanZero:	 Minimum of <Link_Control_05> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_05_max:		 Maximum of <Link_Control_05> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_avg:		 Average of <Link_Control_06> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_avgGreaterThanZero:	 Average of <Link_Control_06> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_std:		 Standard Deviation of <Link_Control_06> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_min:		 Minimum of <Link_Control_06> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_minGreaterThanZero:	 Minimum of <Link_Control_06> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_06_max:		 Maximum of <Link_Control_06> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_avg:		 Average of <Link_Control_07> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_avgGreaterThanZero:	 Average of <Link_Control_07> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_std:		 Standard Deviation of <Link_Control_07> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_min:		 Minimum of <Link_Control_07> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_minGreaterThanZero:	 Minimum of <Link_Control_07> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_07_max:		 Maximum of <Link_Control_07> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_avg:		 Average of <Link_Control_08> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_avgGreaterThanZero:	 Average of <Link_Control_08> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_std:		 Standard Deviation of <Link_Control_08> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_min:		 Minimum of <Link_Control_08> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_minGreaterThanZero:	 Minimum of <Link_Control_08> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_08_max:		 Maximum of <Link_Control_08> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_avg:		 Average of <Link_Control_09> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_avgGreaterThanZero:	 Average of <Link_Control_09> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_std:		 Standard Deviation of <Link_Control_09> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_min:		 Minimum of <Link_Control_09> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_minGreaterThanZero:	 Minimum of <Link_Control_09> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_09_max:		 Maximum of <Link_Control_09> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_avg:		 Average of <Link_Control_10> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_avgGreaterThanZero:	 Average of <Link_Control_10> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_std:		 Standard Deviation of <Link_Control_10> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_min:		 Minimum of <Link_Control_10> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_minGreaterThanZero:	 Minimum of <Link_Control_10> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_10_max:		 Maximum of <Link_Control_10> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_avg:		 Average of <Link_Control_11> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_avgGreaterThanZero:	 Average of <Link_Control_11> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_std:		 Standard Deviation of <Link_Control_11> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_min:		 Minimum of <Link_Control_11> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_minGreaterThanZero:	 Minimum of <Link_Control_11> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_11_max:		 Maximum of <Link_Control_11> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_avg:		 Average of <Link_Control_12> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_avgGreaterThanZero:	 Average of <Link_Control_12> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_std:		 Standard Deviation of <Link_Control_12> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_min:		 Minimum of <Link_Control_12> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_minGreaterThanZero:	 Minimum of <Link_Control_12> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_12_max:		 Maximum of <Link_Control_12> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_avg:		 Average of <Link_Control_13> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_avgGreaterThanZero:	 Average of <Link_Control_13> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_std:		 Standard Deviation of <Link_Control_13> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_min:		 Minimum of <Link_Control_13> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_minGreaterThanZero:	 Minimum of <Link_Control_13> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_13_max:		 Maximum of <Link_Control_13> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_avg:		 Average of <Link_Control_14> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_avgGreaterThanZero:	 Average of <Link_Control_14> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_std:		 Standard Deviation of <Link_Control_14> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_min:		 Minimum of <Link_Control_14> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_minGreaterThanZero:	 Minimum of <Link_Control_14> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_14_max:		 Maximum of <Link_Control_14> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_avg:		 Average of <Link_Control_15> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_avgGreaterThanZero:	 Average of <Link_Control_15> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_std:		 Standard Deviation of <Link_Control_15> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_min:		 Minimum of <Link_Control_15> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_minGreaterThanZero:	 Minimum of <Link_Control_15> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_15_max:		 Maximum of <Link_Control_15> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_avg:		 Average of <Link_Control_16> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_avgGreaterThanZero:	 Average of <Link_Control_16> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_std:		 Standard Deviation of <Link_Control_16> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_min:		 Minimum of <Link_Control_16> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_minGreaterThanZero:	 Minimum of <Link_Control_16> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_16_max:		 Maximum of <Link_Control_16> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_avg:		 Average of <Link_Control_17> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_avgGreaterThanZero:	 Average of <Link_Control_17> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_std:		 Standard Deviation of <Link_Control_17> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_min:		 Minimum of <Link_Control_17> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_minGreaterThanZero:	 Minimum of <Link_Control_17> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_17_max:		 Maximum of <Link_Control_17> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_avg:		 Average of <Link_Control_18> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_avgGreaterThanZero:	 Average of <Link_Control_18> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_std:		 Standard Deviation of <Link_Control_18> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_min:		 Minimum of <Link_Control_18> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_minGreaterThanZero:	 Minimum of <Link_Control_18> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_18_max:		 Maximum of <Link_Control_18> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_avg:		 Average of <Link_Control_19> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_avgGreaterThanZero:	 Average of <Link_Control_19> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_std:		 Standard Deviation of <Link_Control_19> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_min:		 Minimum of <Link_Control_19> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_minGreaterThanZero:	 Minimum of <Link_Control_19> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_19_max:		 Maximum of <Link_Control_19> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_avg:		 Average of <Link_Control_20> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_avgGreaterThanZero:	 Average of <Link_Control_20> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_std:		 Standard Deviation of <Link_Control_20> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_min:		 Minimum of <Link_Control_20> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_minGreaterThanZero:	 Minimum of <Link_Control_20> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_20_max:		 Maximum of <Link_Control_20> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_avg:		 Average of <Link_Control_21> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_avgGreaterThanZero:	 Average of <Link_Control_21> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_std:		 Standard Deviation of <Link_Control_21> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_min:		 Minimum of <Link_Control_21> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_minGreaterThanZero:	 Minimum of <Link_Control_21> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_21_max:		 Maximum of <Link_Control_21> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_avg:		 Average of <Link_Control_22> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_avgGreaterThanZero:	 Average of <Link_Control_22> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_std:		 Standard Deviation of <Link_Control_22> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_min:		 Minimum of <Link_Control_22> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_minGreaterThanZero:	 Minimum of <Link_Control_22> (Ball control of player with ball.) with only values greater than zero. For <3th player>. During the whole duration of the events <attack>.
Link_Control_22_max:		 Maximum of <Link_Control_22> (Ball control of player with ball.). For <3th player>. During the whole duration of the events <attack>.
velRelToBall_avg:		 Average of <velRelToBall> (Relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_avgGreaterThanZero:	 Average of <velRelToBall> (Relative velocity between player and ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_std:		 Standard Deviation of <velRelToBall> (Relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_min:		 Minimum of <velRelToBall> (Relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_minGreaterThanZero:	 Minimum of <velRelToBall> (Relative velocity between player and ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_max:		 Maximum of <velRelToBall> (Relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_avg:	 Average of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_min:	 Minimum of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
velRelToBall_avg_perTimePerPlayer_ref_max:	 Maximum of <velRelToBall_avg_perTimePerPlayer_ref> (Relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg:	 Average of <velRelToBallSquared> (Square of relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_avgGreaterThanZero:	 Average of <velRelToBallSquared> (Square of relative velocity between player and ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_std:	 Standard Deviation of <velRelToBallSquared> (Square of relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_min:	 Minimum of <velRelToBallSquared> (Square of relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_minGreaterThanZero:	 Minimum of <velRelToBallSquared> (Square of relative velocity between player and ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_max:	 Maximum of <velRelToBallSquared> (Square of relative velocity between player and ball.). For <playerRows>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_avg:	 Average of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_min:	 Minimum of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
velRelToBallSquared_avg_perTimePerPlayer_ref_max:	 Maximum of <velRelToBallSquared_avg_perTimePerPlayer_ref> (Square of relative velocity between player and ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_Pressure_avg:		 Average of <Link_Pressure> (Pressure on player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_avgGreaterThanZero:	 Average of <Link_Pressure> (Pressure on player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_std:		 Standard Deviation of <Link_Pressure> (Pressure on player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_min:		 Minimum of <Link_Pressure> (Pressure on player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_minGreaterThanZero:	 Minimum of <Link_Pressure> (Pressure on player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_max:		 Maximum of <Link_Pressure> (Pressure on player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_Pressure_avg_perTimePerPlayer_ref_avg:	 Average of <Link_Pressure_avg_perTimePerPlayer_ref> (Pressure on player with ball.). For <refTeam>. During the whole duration of the events <attack>.
